Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.9932432432432432,0.9802631578947368,0.9866666666666667,0.9867532005689901,0.98675320056899,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.98,0.9933333333333333,0.9866666666666667,0.9866666666666666,0.9866666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.9865771812080537,0.9867549668874173,0.9866666666666667,0.9866660740477355,0.9866660740477353,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.9866666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.7277227722772277,0.9693877551020408,0.8066666666666666,0.8485552636896343,0.8485552636896343,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.98,0.6333333333333333,0.8066666666666666,0.8066666666666666,0.8066666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.8352272727272727,0.7661290322580645,0.8066666666666666,0.8006781524926686,0.8006781524926686,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.8066666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.8909090909090909,0.9777777777777777,0.93,0.9343434343434343,0.9343434343434341,Midjourney_split,,,,,,,
Midjourney_split,recall,0.98,0.88,0.93,0.9299999999999999,0.93,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.9333333333333333,0.9263157894736842,0.93,0.9298245614035088,0.9298245614035087,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.93,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.9932432432432432,0.9802631578947368,0.9866666666666667,0.9867532005689901,0.98675320056899,firefly_split,,,,,,,
firefly_split,recall,0.98,0.9933333333333333,0.9866666666666667,0.9866666666666666,0.9866666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.9865771812080537,0.9867549668874173,0.9866666666666667,0.9866660740477355,0.9866660740477353,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.9866666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.9483870967741935,0.9793103448275862,0.9633333333333334,0.9638487208008899,0.9638487208008898,Dall-E_split,,,,,,,
Dall-E_split,recall,0.98,0.9466666666666667,0.9633333333333334,0.9633333333333334,0.9633333333333334,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.9639344262295082,0.9627118644067797,0.9633333333333334,0.9633231453181439,0.963323145318144,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.9633333333333334,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.9346666666666666,,,ALL,0.9345321229050279,0.9346666666666666,0.934532122905028,0.8893333333333333,0.98,0.02,0.11066666666666666
