Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,1.0,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6,1.0,0.6666666666666666,0.8,0.8,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.75,0.5,0.6666666666666666,0.625,0.625,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.6666666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5016722408026756,1.0,0.5033333333333333,0.7508361204013378,0.7508361204013378,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.006666666666666667,0.5033333333333333,0.5033333333333333,0.5033333333333333,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.6681514476614699,0.013245033112582781,0.5033333333333333,0.34069824038702634,0.34069824038702634,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.625,1.0,0.7,0.8125,0.8125,firefly_split,,,,,,,
firefly_split,recall,1.0,0.4,0.7,0.7,0.7,firefly_split,,,,,,,
firefly_split,f1-score,0.7692307692307693,0.5714285714285714,0.7,0.6703296703296704,0.6703296703296703,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.7,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5016722408026756,1.0,0.5033333333333333,0.7508361204013378,0.7508361204013378,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.006666666666666667,0.5033333333333333,0.5033333333333333,0.5033333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6681514476614699,0.013245033112582781,0.5033333333333333,0.34069824038702634,0.34069824038702634,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6746666666666666,,,ALL,0.6361568621213447,0.6746666666666666,0.6361568621213447,0.34933333333333333,1.0,0.0,0.6506666666666666
