Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5434782608695652,1.0,0.58,0.7717391304347826,0.7717391304347826,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.16,0.58,0.58,0.58,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.704225352112676,0.27586206896551724,0.58,0.4900437105390966,0.4900437105390967,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.58,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5016722408026756,1.0,0.5033333333333333,0.7508361204013378,0.7508361204013378,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.006666666666666667,0.5033333333333333,0.5033333333333333,0.5033333333333333,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6681514476614699,0.013245033112582781,0.5033333333333333,0.34069824038702634,0.34069824038702634,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.8021390374331551,1.0,0.8766666666666667,0.9010695187165776,0.9010695187165775,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.7533333333333333,0.8766666666666667,0.8766666666666667,0.8766666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.8902077151335311,0.8593155893536122,0.8766666666666667,0.8747616522435717,0.8747616522435716,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.8766666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5725190839694656,1.0,0.6266666666666667,0.7862595419847328,0.7862595419847328,firefly_split,,,,,,,
firefly_split,recall,1.0,0.25333333333333335,0.6266666666666667,0.6266666666666667,0.6266666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.7281553398058253,0.40425531914893614,0.6266666666666667,0.5662053294773807,0.5662053294773807,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.6266666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,f1-score,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,1.0,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7173333333333334,,,ALL,0.6927868675080571,0.7173333333333334,0.6927868675080571,0.43466666666666665,1.0,0.0,0.5653333333333334
