Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.6622222222222223,0.9866666666666667,0.7433333333333333,0.8244444444444445,0.8244444444444444,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.9933333333333333,0.49333333333333335,0.7433333333333333,0.7433333333333333,0.7433333333333333,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7946666666666666,0.6577777777777778,0.7433333333333333,0.7262222222222222,0.7262222222222222,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.7433333333333333,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.7028301886792453,0.9886363636363636,0.7866666666666666,0.8457332761578045,0.8457332761578045,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.9933333333333333,0.58,0.7866666666666666,0.7866666666666666,0.7866666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.8232044198895028,0.7310924369747899,0.7866666666666666,0.7771484284321464,0.7771484284321463,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.7866666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.7163461538461539,0.9891304347826086,0.8,0.8527382943143813,0.8527382943143812,Midjourney_split,,,,,,,
Midjourney_split,recall,0.9933333333333333,0.6066666666666667,0.8,0.8,0.8,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.8324022346368715,0.7520661157024794,0.8,0.7922341751696754,0.7922341751696754,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.8,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,1.0,0.9933774834437086,0.9966666666666667,0.9966887417218543,0.9966887417218542,firefly_split,,,,,,,
firefly_split,recall,0.9933333333333333,1.0,0.9966666666666667,0.9966666666666666,0.9966666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.9966555183946488,0.9966777408637874,0.9966666666666667,0.9966666296292181,0.996666629629218,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5120274914089347,0.8888888888888888,0.5233333333333333,0.7004581901489118,0.7004581901489118,Dall-E_split,,,,,,,
Dall-E_split,recall,0.9933333333333333,0.05333333333333334,0.5233333333333333,0.5233333333333333,0.5233333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6757369614512472,0.10062893081761007,0.5233333333333333,0.3881829461344286,0.38818294613442866,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5233333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.77,,,ALL,0.7579258808808224,0.77,0.7579258808808224,0.5466666666666666,0.9933333333333333,0.006666666666666667,0.4533333333333333
