Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5102040816326531,1.0,0.52,0.7551020408163265,0.7551020408163265,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.04,0.52,0.52,0.52,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.6756756756756757,0.07692307692307693,0.52,0.37629937629937626,0.37629937629937626,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.52,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5033557046979866,1.0,0.5066666666666667,0.7516778523489933,0.7516778523489933,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.013333333333333334,0.5066666666666667,0.5066666666666667,0.5066666666666667,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6696428571428571,0.02631578947368421,0.5066666666666667,0.34797932330827064,0.34797932330827064,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.5066666666666667,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,f1-score,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,1.0,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5415162454873647,1.0,0.5766666666666667,0.7707581227436824,0.7707581227436824,firefly_split,,,,,,,
firefly_split,recall,1.0,0.15333333333333332,0.5766666666666667,0.5766666666666667,0.5766666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.702576112412178,0.2658959537572254,0.5766666666666667,0.4842360330847017,0.4842360330847017,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.5766666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5660377358490566,1.0,0.6166666666666667,0.7830188679245282,0.7830188679245282,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.23333333333333334,0.6166666666666667,0.6166666666666667,0.6166666666666667,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.7228915662650602,0.3783783783783784,0.6166666666666667,0.5506349723217193,0.5506349723217192,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.6166666666666667,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.644,,,ALL,0.5923340478938786,0.644,0.5923340478938787,0.288,1.0,0.0,0.712
