Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.6818181818181818,1.0,0.7666666666666667,0.8409090909090908,0.8409090909090908,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.5333333333333333,0.7666666666666667,0.7666666666666666,0.7666666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.8108108108108109,0.6956521739130435,0.7666666666666667,0.7532314923619272,0.7532314923619271,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.7666666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.9868421052631579,1.0,0.9933333333333333,0.993421052631579,0.9934210526315788,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.9866666666666667,0.9933333333333333,0.9933333333333334,0.9933333333333333,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.9933774834437086,0.9932885906040269,0.9933333333333333,0.9933330370238678,0.9933330370238677,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.9933333333333333,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5226480836236934,1.0,0.5433333333333333,0.7613240418118468,0.7613240418118468,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.08666666666666667,0.5433333333333333,0.5433333333333333,0.5433333333333333,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.6864988558352403,0.15950920245398773,0.5433333333333333,0.423004029144614,0.42300402914461394,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.5433333333333333,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.78125,1.0,0.86,0.890625,0.890625,firefly_split,,,,,,,
firefly_split,recall,1.0,0.72,0.86,0.86,0.86,firefly_split,,,,,,,
firefly_split,f1-score,0.8771929824561403,0.8372093023255814,0.86,0.8572011423908609,0.8572011423908608,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.86,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5,0.0,0.5,0.25,0.25,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.0,0.5,0.5,0.5,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7326666666666667,,,ALL,0.7120906146326893,0.7326666666666667,0.7120906146326894,0.4653333333333333,1.0,0.0,0.5346666666666666
