Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5622641509433962,0.9714285714285714,0.61,0.7668463611859838,0.7668463611859838,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.9933333333333333,0.22666666666666666,0.61,0.61,0.61,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7180722891566265,0.3675675675675676,0.61,0.542819928362097,0.542819928362097,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.61,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5,0.5,0.5,0.5,0.5,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.9933333333333333,0.006666666666666667,0.5,0.5,0.5,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6651785714285714,0.013157894736842105,0.5,0.33916823308270677,0.33916823308270677,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.5,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.745,0.99,0.8266666666666667,0.8674999999999999,0.8675,Midjourney_split,,,,,,,
Midjourney_split,recall,0.9933333333333333,0.66,0.8266666666666667,0.8266666666666667,0.8266666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.8514285714285714,0.792,0.8266666666666667,0.8217142857142857,0.8217142857142857,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.8266666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5936254980079682,0.9795918367346939,0.6566666666666666,0.7866086673713311,0.786608667371331,firefly_split,,,,,,,
firefly_split,recall,0.9933333333333333,0.32,0.6566666666666666,0.6566666666666666,0.6566666666666666,firefly_split,,,,,,,
firefly_split,f1-score,0.743142144638404,0.4824120603015075,0.6566666666666666,0.6127771024699558,0.6127771024699558,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.6566666666666666,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,1.0,0.9933774834437086,0.9966666666666667,0.9966887417218543,0.9966887417218542,Dall-E_split,,,,,,,
Dall-E_split,recall,0.9933333333333333,1.0,0.9966666666666667,0.9966666666666666,0.9966666666666667,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.9966555183946488,0.9966777408637874,0.9966666666666667,0.9966666296292181,0.996666629629218,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.718,,,ALL,0.6948684519948005,0.718,0.6948684519948004,0.44266666666666665,0.9933333333333333,0.006666666666666667,0.5573333333333333
