Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.6493506493506493,1.0,0.73,0.8246753246753247,0.8246753246753247,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.46,0.73,0.73,0.73,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7874015748031497,0.6301369863013698,0.73,0.7087692805522597,0.7087692805522597,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.73,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6172839506172839,1.0,0.69,0.808641975308642,0.8086419753086419,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.38,0.69,0.69,0.69,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.7633587786259542,0.5507246376811594,0.69,0.6570417081535569,0.6570417081535569,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.69,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.6637168141592921,1.0,0.7466666666666667,0.831858407079646,0.8318584070796461,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.49333333333333335,0.7466666666666667,0.7466666666666667,0.7466666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7978723404255319,0.6607142857142857,0.7466666666666667,0.7292933130699089,0.7292933130699089,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.7466666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,recall,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,f1-score,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,1.0,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5172413793103449,1.0,0.5333333333333333,0.7586206896551724,0.7586206896551725,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6818181818181818,0.125,0.5333333333333333,0.4034090909090909,0.4034090909090909,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5333333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.74,,,ALL,0.7211497211497211,0.74,0.7211497211497211,0.48,1.0,0.0,0.52
