Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.6382978723404256,1.0,0.7166666666666667,0.8191489361702128,0.8191489361702128,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.43333333333333335,0.7166666666666667,0.7166666666666667,0.7166666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7792207792207793,0.6046511627906976,0.7166666666666667,0.6919359710057384,0.6919359710057384,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.7166666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.9933774834437086,1.0,0.9966666666666667,0.9966887417218543,0.9966887417218542,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.9933333333333333,0.9966666666666667,0.9966666666666666,0.9966666666666667,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.9966777408637874,0.9966555183946488,0.9966666666666667,0.9966666296292181,0.996666629629218,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5136986301369864,1.0,0.5266666666666666,0.7568493150684932,0.7568493150684932,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.05333333333333334,0.5266666666666666,0.5266666666666666,0.5266666666666666,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.6787330316742082,0.10126582278481013,0.5266666666666666,0.38999942722950914,0.38999942722950914,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.5266666666666666,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.7853403141361257,1.0,0.8633333333333333,0.8926701570680629,0.8926701570680629,firefly_split,,,,,,,
firefly_split,recall,1.0,0.7266666666666667,0.8633333333333333,0.8633333333333333,0.8633333333333333,firefly_split,,,,,,,
firefly_split,f1-score,0.8797653958944281,0.8416988416988417,0.8633333333333333,0.8607321187966349,0.860732118796635,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.8633333333333333,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5016722408026756,1.0,0.5033333333333333,0.7508361204013378,0.7508361204013378,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.006666666666666667,0.5033333333333333,0.5033333333333333,0.5033333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6681514476614699,0.013245033112582781,0.5033333333333333,0.34069824038702634,0.34069824038702634,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7213333333333334,,,ALL,0.697871512030207,0.7213333333333334,0.697871512030207,0.44266666666666665,1.0,0.0,0.5573333333333333
