Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,1.0,0.9933774834437086,0.9966666666666667,0.9966887417218543,0.9966887417218542,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.9933333333333333,1.0,0.9966666666666667,0.9966666666666666,0.9966666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.9966555183946488,0.9966777408637874,0.9966666666666667,0.9966666296292181,0.996666629629218,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6394849785407726,0.9850746268656716,0.7166666666666667,0.8122798027032221,0.8122798027032222,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.9933333333333333,0.44,0.7166666666666667,0.7166666666666667,0.7166666666666667,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.7780678851174935,0.6082949308755761,0.7166666666666667,0.6931814079965348,0.6931814079965348,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.7166666666666667,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5209790209790209,0.9285714285714286,0.54,0.7247752247752248,0.7247752247752247,Midjourney_split,,,,,,,
Midjourney_split,recall,0.9933333333333333,0.08666666666666667,0.54,0.54,0.54,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.6834862385321101,0.15853658536585366,0.54,0.4210114119489819,0.4210114119489819,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.54,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.6478260869565218,0.9857142857142858,0.7266666666666667,0.8167701863354038,0.8167701863354038,firefly_split,,,,,,,
firefly_split,recall,0.9933333333333333,0.46,0.7266666666666667,0.7266666666666667,0.7266666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.7842105263157895,0.6272727272727273,0.7266666666666667,0.7057416267942584,0.7057416267942583,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.7266666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5016835016835017,0.6666666666666666,0.5033333333333333,0.5841750841750841,0.5841750841750842,Dall-E_split,,,,,,,
Dall-E_split,recall,0.9933333333333333,0.013333333333333334,0.5033333333333333,0.5033333333333333,0.5033333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6666666666666666,0.026143790849673203,0.5033333333333333,0.3464052287581699,0.3464052287581699,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6966666666666667,,,ALL,0.6673936085965959,0.6966666666666667,0.6673936085965959,0.4,0.9933333333333333,0.006666666666666667,0.6
