Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.8620689655172413,1.0,0.92,0.9310344827586207,0.9310344827586206,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.84,0.92,0.9199999999999999,0.92,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.9259259259259259,0.9130434782608695,0.92,0.9194847020933977,0.9194847020933976,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.92,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6818181818181818,1.0,0.7666666666666667,0.8409090909090908,0.8409090909090908,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.5333333333333333,0.7666666666666667,0.7666666666666666,0.7666666666666667,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.8108108108108109,0.6956521739130435,0.7666666666666667,0.7532314923619272,0.7532314923619271,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.7666666666666667,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.6097560975609756,1.0,0.68,0.8048780487804879,0.8048780487804879,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.36,0.68,0.6799999999999999,0.68,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7575757575757576,0.5294117647058824,0.68,0.64349376114082,0.64349376114082,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.68,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,recall,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,f1-score,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,1.0,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5119453924914675,1.0,0.5233333333333333,0.7559726962457338,0.7559726962457337,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.04666666666666667,0.5233333333333333,0.5233333333333333,0.5233333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6772009029345373,0.08917197452229299,0.5233333333333333,0.3831864387284151,0.3831864387284151,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5233333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.778,,,ALL,0.7664917809314242,0.778,0.7664917809314242,0.556,1.0,0.0,0.444
