Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5136986301369864,1.0,0.5266666666666666,0.7568493150684932,0.7568493150684932,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.05333333333333334,0.5266666666666666,0.5266666666666666,0.5266666666666666,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.6787330316742082,0.10126582278481013,0.5266666666666666,0.38999942722950914,0.38999942722950914,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.5266666666666666,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5050505050505051,1.0,0.51,0.7525252525252526,0.7525252525252525,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.02,0.51,0.51,0.51,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6711409395973155,0.0392156862745098,0.51,0.3551783129359126,0.3551783129359126,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.51,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,f1-score,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,1.0,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5494505494505495,1.0,0.59,0.7747252747252747,0.7747252747252747,firefly_split,,,,,,,
firefly_split,recall,1.0,0.18,0.59,0.59,0.59,firefly_split,,,,,,,
firefly_split,f1-score,0.7092198581560284,0.3050847457627119,0.59,0.5071523019593701,0.5071523019593701,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.59,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5813953488372093,1.0,0.64,0.7906976744186047,0.7906976744186047,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.28,0.64,0.64,0.64,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.7352941176470589,0.4375,0.64,0.5863970588235294,0.5863970588235294,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.64,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6533333333333333,,,ALL,0.6059810062638917,0.6533333333333333,0.6059810062638917,0.30666666666666664,1.0,0.0,0.6933333333333334
