Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5952380952380952,1.0,0.66,0.7976190476190477,0.7976190476190476,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.32,0.66,0.66,0.66,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.746268656716418,0.48484848484848486,0.66,0.6155585707824514,0.6155585707824514,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.66,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,1.0,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5882352941176471,1.0,0.65,0.7941176470588236,0.7941176470588236,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.3,0.65,0.65,0.65,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7407407407407407,0.46153846153846156,0.65,0.6011396011396011,0.6011396011396012,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.65,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.78125,1.0,0.86,0.890625,0.890625,firefly_split,,,,,,,
firefly_split,recall,1.0,0.72,0.86,0.86,0.86,firefly_split,,,,,,,
firefly_split,f1-score,0.8771929824561403,0.8372093023255814,0.86,0.8572011423908609,0.8572011423908608,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.86,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5,0.0,0.5,0.25,0.25,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.0,0.5,0.5,0.5,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.734,,,ALL,0.7137457976591723,0.734,0.7137457976591723,0.468,1.0,0.0,0.532
