Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,1.0,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5928853754940712,1.0,0.6566666666666666,0.7964426877470356,0.7964426877470356,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.31333333333333335,0.6566666666666666,0.6566666666666667,0.6566666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.7444168734491315,0.47715736040609136,0.6566666666666666,0.6107871169276115,0.6107871169276115,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.6566666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5050505050505051,1.0,0.51,0.7525252525252526,0.7525252525252525,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.02,0.51,0.51,0.51,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.6711409395973155,0.0392156862745098,0.51,0.3551783129359126,0.3551783129359126,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.51,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.6172839506172839,1.0,0.69,0.808641975308642,0.8086419753086419,firefly_split,,,,,,,
firefly_split,recall,1.0,0.38,0.69,0.69,0.69,firefly_split,,,,,,,
firefly_split,f1-score,0.7633587786259542,0.5507246376811594,0.69,0.6570417081535569,0.6570417081535569,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.69,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5033557046979866,1.0,0.5066666666666667,0.7516778523489933,0.7516778523489933,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.013333333333333334,0.5066666666666667,0.5066666666666667,0.5066666666666667,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6696428571428571,0.02631578947368421,0.5066666666666667,0.34797932330827064,0.34797932330827064,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5066666666666667,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6726666666666666,,,ALL,0.6333849199494852,0.6726666666666666,0.6333849199494853,0.3453333333333333,1.0,0.0,0.6546666666666666
