Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5555555555555556,1.0,0.6,0.7777777777777778,0.7777777777777778,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.2,0.6,0.6,0.6,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7142857142857143,0.3333333333333333,0.6,0.5238095238095238,0.5238095238095238,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.6,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5,0.0,0.5,0.25,0.25,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.0,0.5,0.5,0.5,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.5,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.7978723404255319,1.0,0.8733333333333333,0.898936170212766,0.898936170212766,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.7466666666666667,0.8733333333333333,0.8733333333333333,0.8733333333333333,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.8875739644970414,0.8549618320610687,0.8733333333333333,0.871267898279055,0.8712678982790552,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.8733333333333333,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5639097744360902,1.0,0.6133333333333333,0.7819548872180451,0.7819548872180451,firefly_split,,,,,,,
firefly_split,recall,1.0,0.22666666666666666,0.6133333333333333,0.6133333333333333,0.6133333333333333,firefly_split,,,,,,,
firefly_split,f1-score,0.7211538461538461,0.3695652173913043,0.6133333333333333,0.5453595317725752,0.5453595317725752,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.6133333333333333,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,f1-score,1.0,1.0,1.0,1.0,1.0,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,1.0,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7173333333333334,,,ALL,0.6927868675080571,0.7173333333333334,0.6927868675080571,0.43466666666666665,1.0,0.0,0.5653333333333334
