Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5791505791505791,1.0,0.6366666666666667,0.7895752895752896,0.7895752895752896,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.2733333333333333,0.6366666666666667,0.6366666666666667,0.6366666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7334963325183375,0.4293193717277487,0.6366666666666667,0.581407852123043,0.5814078521230431,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.6366666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,1.0,1.0,1.0,1.0,1.0,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,1.0,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5474452554744526,1.0,0.5866666666666667,0.7737226277372262,0.7737226277372263,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.17333333333333334,0.5866666666666667,0.5866666666666667,0.5866666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7075471698113207,0.29545454545454547,0.5866666666666667,0.5015008576329331,0.5015008576329331,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.5866666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.7894736842105263,1.0,0.8666666666666667,0.8947368421052632,0.8947368421052632,firefly_split,,,,,,,
firefly_split,recall,1.0,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.8823529411764706,0.8461538461538461,0.8666666666666667,0.8642533936651584,0.8642533936651584,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.8666666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5016722408026756,1.0,0.5033333333333333,0.7508361204013378,0.7508361204013378,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.006666666666666667,0.5033333333333333,0.5033333333333333,0.5033333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6681514476614699,0.013245033112582781,0.5033333333333333,0.34069824038702634,0.34069824038702634,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5033333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7186666666666667,,,ALL,0.6944856837825472,0.7186666666666667,0.6944856837825472,0.43733333333333335,1.0,0.0,0.5626666666666666
