Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,1.0,1.0,1.0,1.0,1.0,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,1.0,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6437768240343348,1.0,0.7233333333333334,0.8218884120171674,0.8218884120171674,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.44666666666666666,0.7233333333333334,0.7233333333333334,0.7233333333333334,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.783289817232376,0.6175115207373272,0.7233333333333334,0.7004006689848516,0.7004006689848516,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.7233333333333334,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5434782608695652,1.0,0.58,0.7717391304347826,0.7717391304347826,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.16,0.58,0.58,0.58,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.704225352112676,0.27586206896551724,0.58,0.4900437105390966,0.4900437105390967,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.58,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.7389162561576355,1.0,0.8233333333333334,0.8694581280788177,0.8694581280788177,firefly_split,,,,,,,
firefly_split,recall,1.0,0.6466666666666666,0.8233333333333334,0.8233333333333333,0.8233333333333334,firefly_split,,,,,,,
firefly_split,f1-score,0.8498583569405099,0.7854251012145749,0.8233333333333334,0.8176417290775424,0.8176417290775424,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.8233333333333334,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5067567567567568,1.0,0.5133333333333333,0.7533783783783784,0.7533783783783784,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.02666666666666667,0.5133333333333333,0.5133333333333333,0.5133333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.672645739910314,0.05194805194805195,0.5133333333333333,0.36229689592918296,0.36229689592918296,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5133333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.728,,,ALL,0.7062685741931025,0.728,0.7062685741931024,0.456,1.0,0.0,0.544
