Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5421245421245421,0.9259259259259259,0.5766666666666667,0.734025234025234,0.734025234025234,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.9866666666666667,0.16666666666666666,0.5766666666666667,0.5766666666666667,0.5766666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.6997635933806147,0.2824858757062147,0.5766666666666667,0.49112473454341465,0.4911247345434147,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.5766666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.4983164983164983,0.3333333333333333,0.49666666666666665,0.4158249158249158,0.4158249158249159,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.9866666666666667,0.006666666666666667,0.49666666666666665,0.4966666666666667,0.49666666666666665,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6621923937360179,0.013071895424836602,0.49666666666666665,0.33763214458042723,0.3376321445804273,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.49666666666666665,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.7708333333333334,0.9814814814814815,0.8466666666666667,0.8761574074074074,0.8761574074074074,Midjourney_split,,,,,,,
Midjourney_split,recall,0.9866666666666667,0.7066666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.8654970760233918,0.8217054263565892,0.8466666666666667,0.8436012511899904,0.8436012511899904,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.8466666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5758754863813229,0.9534883720930233,0.63,0.7646819292371732,0.7646819292371732,firefly_split,,,,,,,
firefly_split,recall,0.9866666666666667,0.2733333333333333,0.63,0.63,0.63,firefly_split,,,,,,,
firefly_split,f1-score,0.7272727272727273,0.42487046632124353,0.63,0.5760715967969854,0.5760715967969854,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.63,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,1.0,0.9868421052631579,0.9933333333333333,0.993421052631579,0.9934210526315788,Dall-E_split,,,,,,,
Dall-E_split,recall,0.9866666666666667,1.0,0.9933333333333333,0.9933333333333334,0.9933333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.9932885906040269,0.9933774834437086,0.9933333333333333,0.9933330370238678,0.9933330370238677,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.9933333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7086666666666667,,,ALL,0.6842654366746286,0.7086666666666667,0.6842654366746286,0.43066666666666664,0.9866666666666667,0.013333333333333334,0.5693333333333334
