Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.6072874493927125,1.0,0.6766666666666666,0.8036437246963563,0.8036437246963563,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.35333333333333333,0.6766666666666666,0.6766666666666666,0.6766666666666666,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.7556675062972292,0.5221674876847291,0.6766666666666666,0.6389174969909792,0.6389174969909792,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.6766666666666666,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6,1.0,0.6666666666666666,0.8,0.8,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.75,0.5,0.6666666666666666,0.625,0.625,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.6666666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5747126436781609,1.0,0.63,0.7873563218390804,0.7873563218390804,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.26,0.63,0.63,0.63,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7299270072992701,0.4126984126984127,0.63,0.5713127099988413,0.5713127099988414,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.63,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.9933774834437086,1.0,0.9966666666666667,0.9966887417218543,0.9966887417218542,firefly_split,,,,,,,
firefly_split,recall,1.0,0.9933333333333333,0.9966666666666667,0.9966666666666666,0.9966666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.9966777408637874,0.9966555183946488,0.9966666666666667,0.9966666296292181,0.996666629629218,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5050505050505051,1.0,0.51,0.7525252525252526,0.7525252525252525,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.02,0.51,0.51,0.51,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6711409395973155,0.0392156862745098,0.51,0.3551783129359126,0.3551783129359126,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.51,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.696,,,ALL,0.6650447782243847,0.696,0.6650447782243847,0.392,1.0,0.0,0.608
