Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,1.0,0.9933774834437086,0.9966666666666667,0.9966887417218543,0.9966887417218542,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,0.9933333333333333,1.0,0.9966666666666667,0.9966666666666666,0.9966666666666667,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.9966555183946488,0.9966777408637874,0.9966666666666667,0.9966666296292181,0.996666629629218,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6008064516129032,0.9807692307692307,0.6666666666666666,0.7907878411910669,0.790787841191067,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,0.9933333333333333,0.34,0.6666666666666666,0.6666666666666666,0.6666666666666666,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.7487437185929648,0.504950495049505,0.6666666666666666,0.6268471068212349,0.6268471068212349,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.6666666666666666,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5539033457249071,0.967741935483871,0.5966666666666667,0.760822640604389,0.7608226406043891,Midjourney_split,,,,,,,
Midjourney_split,recall,0.9933333333333333,0.2,0.5966666666666667,0.5966666666666667,0.5966666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.711217183770883,0.3314917127071823,0.5966666666666667,0.5213544482390327,0.5213544482390327,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.5966666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.6711711711711712,0.9871794871794872,0.7533333333333333,0.8291753291753292,0.8291753291753292,firefly_split,,,,,,,
firefly_split,recall,0.9933333333333333,0.5133333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,firefly_split,,,,,,,
firefly_split,f1-score,0.8010752688172043,0.6754385964912281,0.7533333333333333,0.7382569326542161,0.7382569326542161,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.7533333333333333,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5155709342560554,0.9090909090909091,0.53,0.7123309216734822,0.7123309216734822,Dall-E_split,,,,,,,
Dall-E_split,recall,0.9933333333333333,0.06666666666666667,0.53,0.53,0.53,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.6788154897494305,0.12422360248447205,0.53,0.4015195461169513,0.4015195461169513,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.53,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7086666666666667,,,ALL,0.6829766437697293,0.7086666666666667,0.6829766437697293,0.424,0.9933333333333333,0.006666666666666667,0.576
