Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.78125,1.0,0.86,0.890625,0.890625,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.72,0.86,0.86,0.86,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.8771929824561403,0.8372093023255814,0.86,0.8572011423908609,0.8572011423908608,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.86,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.6521739130434783,1.0,0.7333333333333333,0.8260869565217391,0.8260869565217391,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.4666666666666667,0.7333333333333333,0.7333333333333334,0.7333333333333333,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.7894736842105263,0.6363636363636364,0.7333333333333333,0.7129186602870814,0.7129186602870813,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.7333333333333333,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.5859375,1.0,0.6466666666666666,0.79296875,0.79296875,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.29333333333333333,0.6466666666666666,0.6466666666666667,0.6466666666666666,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.7389162561576355,0.4536082474226804,0.6466666666666666,0.5962622517901579,0.596262251790158,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.6466666666666666,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,recall,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,f1-score,1.0,1.0,1.0,1.0,1.0,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,1.0,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5067567567567568,1.0,0.5133333333333333,0.7533783783783784,0.7533783783783784,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.02666666666666667,0.5133333333333333,0.5133333333333333,0.5133333333333333,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.672645739910314,0.05194805194805195,0.5133333333333333,0.36229689592918296,0.36229689592918296,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.5133333333333333,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.7506666666666667,,,ALL,0.7341388468165853,0.7506666666666667,0.7341388468165853,0.5013333333333333,1.0,0.0,0.49866666666666665
