Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5102040816326531,1.0,0.52,0.7551020408163265,0.7551020408163265,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.04,0.52,0.52,0.52,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.6756756756756757,0.07692307692307693,0.52,0.37629937629937626,0.37629937629937626,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.52,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5119453924914675,1.0,0.5233333333333333,0.7559726962457338,0.7559726962457337,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.04666666666666667,0.5233333333333333,0.5233333333333333,0.5233333333333333,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6772009029345373,0.08917197452229299,0.5233333333333333,0.3831864387284151,0.3831864387284151,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.5233333333333333,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,f1-score,1.0,1.0,1.0,1.0,1.0,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,1.0,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5474452554744526,1.0,0.5866666666666667,0.7737226277372262,0.7737226277372263,firefly_split,,,,,,,
firefly_split,recall,1.0,0.17333333333333334,0.5866666666666667,0.5866666666666667,0.5866666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.7075471698113207,0.29545454545454547,0.5866666666666667,0.5015008576329331,0.5015008576329331,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.5866666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5660377358490566,1.0,0.6166666666666667,0.7830188679245282,0.7830188679245282,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.23333333333333334,0.6166666666666667,0.6166666666666667,0.6166666666666667,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.7228915662650602,0.3783783783783784,0.6166666666666667,0.5506349723217193,0.5506349723217192,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.6166666666666667,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6493333333333333,,,ALL,0.6001670278170235,0.6493333333333333,0.6001670278170235,0.2986666666666667,1.0,0.0,0.7013333333333334
